ticker,project,category,status,heat,one_liner,rwa_hook,contracts,links,x_query,updated
STOCK TOKENS,Robinhood Stock Tokens,Official RWA,Official,core,"The actual RWA product the chain was built for. ~196 ERC-20s, Chainlink priced.","These are the official RWAs. Everything else on this file is either wrapping them, pairing against them, or pretending to.",,Official contract registry https://docs.robinhood.com/chain/contracts | Stock token docs https://docs.robinhood.com/chain/stock-tokens | hoodl2 stocks https://hoodl2.com/stocks | RWA.xyz https://app.rwa.xyz,Robinhood Stock Tokens,2026-08-30
NVDA,NVIDIA Stock Token,Official RWA,Official,core,Largest official stock token by on-chain value. Default quote asset for meme×RWA pairs.,This is the official NVIDIA token. Any other $NVDA on this chain is a fake.,Official NVDA:0xc3553EC6ac7A44e5B1231c6B7f1d04a4de19C0a0,Registry https://docs.robinhood.com/chain/contracts | DexScreener RH https://dexscreener.com/robinhood,$NVDA Robinhood Chain,2026-08-30
SPY,S&P 500 ETF Stock Token,Official RWA,Official,core,Official SPY token. Second by on-chain value. Index exposure without picking names.,Official SPY. Used as quote/reward in several Index-style printers.,Official SPY:0x6A046E3495e2937Fa1cC25730575d82873ADb910,Registry https://docs.robinhood.com/chain/contracts,$SPY Robinhood Chain,2026-08-30
SPCX,SpaceX Stock Token,Official RWA,Official,warm,"Official private-company token. High volume, legally noisy category.",Official SPCX. SPACEHOOD and other memes pair against this CA.,Official SPCX:0x32eB791940173CA92d869121dE1D382048A92Db7,Registry https://docs.robinhood.com/chain/contracts,$SPCX Robinhood Chain,2026-08-30
HOOD,Robinhood Markets Stock Token,Official RWA,Official,core,Official HOOD equity token. Not a chain coin. RSTOCKS drips this to holders.,Official HOOD. RSTOCKS and similar printers buy this and distribute to holders.,Official HOOD:0x21E8771fb18678c82559505ba81113704f57c8ad,Registry https://docs.robinhood.com/chain/contracts,$HOOD Stock Token Robinhood Chain,2026-08-30
GME,GameStop Stock Token,Official RWA,Official,hot,Official GME. Often the volume leader among stock tokens. Culture ticker that is also real.,Official GME. Pons 'pair with any RWA' includes this.,Official GME:0xD1C418cEa7d1A56c2e68D8e0C326F59A76061379,Registry https://docs.robinhood.com/chain/contracts,$GME Robinhood Chain,2026-08-30
USAR,USA Rare Earth Stock Token,Official RWA,Official,watch,Small official ticker. METALHEAD (upcoming) claims to drip this to meme holders.,Official USAR. Any METALHEAD reward has to hit this CA or it is not the stock.,Official USAR:0xd917B029C761D264c6A312BBbcDA868658eF86a6,Registry https://docs.robinhood.com/chain/contracts,$USAR Robinhood Chain,2026-08-30
PONS,Pons,Protocol,Live,hot,Dominant launchpad. Own-the-casino token. Can pair new tickers vs official stock tokens.,The pad can quote official Stock Tokens. $PONS itself is not a stock token.,PONS:0x39dBED3a2bd333467115dE45665cC57F813C4571,Pons https://pons.family | X https://x.com/ponsdotfamily | DexScreener https://dexscreener.com/robinhood,$PONS Robinhood,2026-08-30
INDEX,The Index,Protocol,Live,hot,"Hold the coin, receive official stock tokens. Cleanest RWA-hybrid primitive on the chain.",YES. Fees buy official Stock Tokens and drip them to $INDEX holders.,INDEX:0x56910d4409f3a0c78c64dd8d0545ff0705389870,X article https://x.com/TheIndexFi | DexScreener https://dexscreener.com/robinhood,$INDEX Robinhood TheIndexFi,2026-08-30
BOW,Longbow,Protocol,Live,hot,"Native credit layer. Borrow USDG against stocks, memes, RWAs, NFTs. Morpho-powered.","YES as a credit wrapper. Collateral can be official Stock Tokens. $BOW is the protocol token, not a stock.",BOW (Longbow):0x451b42A15100C340CA12F7c66DE06fac5EA2D751,X https://x.com/longbowlend,$BOW Longbow Robinhood,2026-08-30
DENAR,Denar Markets,Protocol,Live,hot,Went live 30 Aug. Stocks-only money market. Lend USD or borrow against official stock tokens.,YES. Core product is credit against official Stock Tokens. Confirm each market's CA matches the registry.,DENAR:0x3786728a2c49c4617bf4fe5bd82b90b6b0df5508,X https://x.com/DenarMarkets,$DENAR DenarMarkets Robinhood,2026-08-30
ARROW,Arrow (CDP / namesake collision),Protocol,Live,core,User-named. Multiple ARROWs. Treat ticker as a collision until the CA is the one you mean.,Only if the specific product takes official Stock Tokens as collateral. Do not assume from the ticker.,,Blockscout search https://robinhoodchain.blockscout.com | DexScreener RH https://dexscreener.com/robinhood,$ARROW Robinhood Chain,2026-08-30
MANCER,Chain Mancers,Hybrid / NFT,Live,core,RWA-hybrid. NFT/agent layer that sits next to StonkBrokers and Quotrons in CT bags.,Claimed hybrid — confirm whether NFTs actually hold or earn official Stock Tokens.,,DexScreener RH https://dexscreener.com/robinhood,$MANCER Robinhood Chain,2026-08-30
QUOTRON,Quotrons,Hybrid / NFT,Live,core,RWA-hybrid NFT. Same-dev claim now attached to RobinWifHat's upcoming pad.,"Hybrid claim. Confirm NFTs earn or hold official Stock Tokens, not just a ticker that says quote.",,X https://x.com/Quotron404,$QUOTRON Quotrons Robinhood,2026-08-30
STONKBROKER,StonkBrokers,Hybrid / NFT,Live,core,NFT brokers with wallets meant to hold tokenized stocks. The original hybrid on this list.,YES if the TBA/wallet layer actually holds official Stock Tokens. That is the whole check.,,HoodScan https://www.hood-chain.com/tokens,$STONKBROKER StonkBrokers Robinhood,2026-08-30
STATICS,Statics / Operators,Hybrid / NFT,Live,core,Newer hybrid on the original list. Operator NFTs + token. Confirm the RWA leg.,Unproven until Operators hold or earn official Stock Tokens.,,DexScreener RH https://dexscreener.com/robinhood,$STATICS Robinhood Chain,2026-08-30
EARN,Robinhood Earn / Morpho,Infra,No token,core,Official USDG lending inside the Robinhood app. Morpho-powered. Separate from any $EARN meme.,YES as the official credit rail for the stablecoin. Stock Tokens can sit in Morpho markets separately.,,Morpho https://morpho.org | Robinhood Chain docs https://docs.robinhood.com/chain,Robinhood Earn Morpho USDG,2026-08-30
LONGSHOT,Longshot / long.xyz,Launchpad,Live,core,Launchpad that pairs memes against official stock tokens. Home of $AI vs NVDA.,YES as a venue. The pair's quote asset must be a registry CA.,,long.xyz https://long.xyz,long.xyz Longshot Robinhood,2026-08-30
L4VA,L4VA Protocol,Protocol,Launching,warm,"TGE on Robinhood Chain. Vaults that issue tokens backed by locked RWAs, stocks, NFTs, memes.","YES if a vault actually locks official Stock Tokens. Until that tx exists, this is a TGE narrative.",,l4va.org https://l4va.org | X https://x.com/L4VAprotocol,$L4VA L4VAprotocol Robinhood,2026-08-30
ROBINDEX,Robindex scanner (robindex.pro),Infra,Live,warm,DEX scanner token. Not a stock index. Four different products share the Robindex name.,No. Infra/attention token. The $RDEX product on robindex.money is the actual stock-index attempt — separate dossier if we add it.,ROBINDEX scanner:0xd82f70F530AFf45b831d6eE17062B4E85395C6F3,robindex.pro https://robindex.pro/about | X https://x.com/robindexpro,$ROBINDEX robindex.pro,2026-08-30
FOX,Robin Hood / FoxPad,Culture,Live,hot,Unofficial mascot meme with an attached launchpad. Site says not affiliated with Robinhood.,No. Culture + pad. Not a stock token.,FOX:0x2103faA9D1762e27a716C61718b3aCf3Ec1F9bf1,Site https://robinhoodfox.com | FoxPad https://foxpad.app,$FOX Robinhood Chain mascot,2026-08-30
VIRTUAL,Virtuals Protocol,Infra,Live,warm,"AI-agent launchpad on the chain. FalconX: 4,500+ agents, $150M+ agent volume.",Indirect. Some agents wrap or trade stock tokens. $VIRTUAL is not a stock token.,,virtuals.io https://virtuals.io,Virtuals Robinhood Chain,2026-08-30
MAXFI,MaxFi,Infra,No token,warm,"Managed LPs of official stocks vs USDG. Keep the equity, collect swap fees. No token found.",YES as a venue. LPs are official Stock Tokens vs USDG if they used registry CAs.,,maxfi.tech https://maxfi.tech,MaxFi Robinhood Chain,2026-08-30
SQUEEZE,Squeeze protocol,Infra,Not launched,warm,Short desk + short-interest tape. Tape live. Desk not built. A lemon meme is squatting the name.,"No. Would short memes, not stocks, in the current design.",,X https://x.com/UseSqueeze_RH,Squeeze Robinhood Chain UseSqueeze_RH,2026-08-30
CASHCAT,Cash Cat,Culture,Live,hot,Chain-defining cat. Discarded Robinhood mascot name. Not DeFi. Liquidity benchmark.,No.,CASHCAT:0x020bfC650A365f8BB26819deAAbF3E21291018b4,DexScreener https://dexscreener.com/robinhood,$CASHCAT Robinhood,2026-08-30
AI,Artificial Inu,Meme × RWA pair,Live,hot,The pair that defined meme×RWA. Meme quoted against official NVDA on long.xyz.,YES as a pair. Quote asset must be official NVDA 0xc3553EC6ac7A44e5B1231c6B7f1d04a4de19C0a0.,,long.xyz https://long.xyz,$AI Artificial Inu Robinhood NVDA,2026-08-30
HMM,Thinking Cat,Culture,Live,hot,Pons-eco cat. ~$30M cited. Squeeze used its TWAP depth as a traction signal.,No.,,Pons https://pons.family,$HMM Thinking Cat Pons Robinhood,2026-08-30
WIFI,DogWifHood,Culture,Live,warm,"Utility-flavored meme: swap, token inspector, volume engine, PFP gen. Not RWA.",No.,WIFI:0x4606Bd72EbA7259c40F910ECD76CF82950C0428C,,$WIFI DogWifHood Robinhood,2026-08-30
METALHEAD,Metal Head,Meme × RWA pair,Not launched,watch,Announced 30 Aug. Pons meme that claims to drip official USAR on every trade.,YES if and only if rewards are official USAR 0xd917B029C761D264c6A312BBbcDA868658eF86a6.,,X https://x.com/MetalHead_rh,$METALHEAD USAR Pons,2026-08-30
MONKEYBIZ,MonkeyBizCash,Hybrid / NFT,Not launched,watch,"1,111 ERC-6551 'executives.' Burn to activate. Designed to earn from tokenized stocks. Mint TBA.",Planned. Nothing to verify until mint and wallets exist.,,,MonkeyBizCash Robinhood Chain,2026-08-30
BANKR,Bankr,Launchpad,Live,core,Agent infra that launches tokens from X. Trading fees pay API costs. Live on this chain.,Can pair launches with stock liquidity per bot copy. Confirm quote CA.,,X https://x.com/bankrbot,bankrbot Robinhood Chain,2026-08-30
NOXA,Noxa,Launchpad,Live,core,Early launchpad. CASHCAT-era venue. Culture history more than current RWA flow.,Not the focus. Check any pair's quote asset anyway.,,noxa.fun https://noxa.fun,Noxa Robinhood Chain CASHCAT,2026-08-30
MORPHO,Morpho,Infra,No token,core,"Day-one lending. Majority of chain TVL. Rails for Earn, Longbow, stock-token collateral.",YES. Stock Tokens as collateral is the loop the chain was sold on.,,Morpho https://morpho.org,Morpho Robinhood Chain,2026-08-30
UNI,Uniswap,Infra,No token,core,Public AMM for the chain. V2/V3/V4 all present. Where stock tokens and memes actually trade.,YES as the venue. Not a stock token.,,Uniswap https://app.uniswap.org,Uniswap Robinhood Chain,2026-08-30
LINK,Chainlink,Infra,No token,core,Every official Stock Token ships a Chainlink feed. Denar and lending markets price off it.,YES as oracle infra for the official RWAs.,,Chainlink https://chain.link,Chainlink Robinhood Stock Tokens,2026-08-30
LIGHTER,Lighter,Infra,No token,core,"Perps inside Robinhood Wallet. Gold, silver, FX, crypto. Day-one partner. Token pledged to RH users.","Indirect. Perps on metals/FX/crypto, not the Stock Tokens themselves in the launch set.",,,Lighter Robinhood Chain perps,2026-08-30
BRODIE,Brodie,Culture,Live,watch,Claimed Robinhood office dog. First-batch meme. GG1nvestments 16 Aug thesis.,No.,,X https://x.com/BrodieHasFun,$BRODIE BrodieHasFun Robinhood,2026-08-30
VIMEN,Vimen baskets,Hybrid / NFT,Live,core,Basket/hybrid on the original list. On-chain theme of assets — confirm contents.,Only if the basket holds registry Stock Tokens.,,,Vimen Robinhood Chain,2026-08-30
ATLAS,ATLAS,Hybrid / NFT,Live,core,Named hybrid on the original list. Open file — feed the CA.,Unknown.,,,$ATLAS Robinhood Chain,2026-08-30
RSTOCKS,RSTOCKS,Meme × RWA pair,Live,core,Index-style printer aimed at official HOOD. Fees buy the stock token and drip it.,YES if the buyback CA is official HOOD 0x21E8771fb18678c82559505ba81113704f57c8ad.,,,$RSTOCKS HOOD Robinhood,2026-08-30
